product_category_name,product_category_name_english
beleza_saude,health_beauty
informatica_acessorios,computers_accessories
automotivo,auto
cama_mesa_banho,bed_bath_table
moveis_decoracao,furniture_decor
esporte_lazer,sports_leisure
perfumaria,perfumery
utilidades_domesticas,housewares
telefonia,telephony
relogios_presentes,watches_gifts
bebes,baby
papelaria,stationery
brinquedos,toys
ferramentas_jardim,garden_tools
eletroportateis,small_appliances
cool_stuff,cool_stuff
malas_acessorios,luggage_accessories
climatizacao,air_conditioning
construcao_ferramentas_construcao,construction_tools_construction
fashion_roupa_masculina,fashion_male_clothing
pet_shop,pet_shop
moveis_escritorio,office_furniture
eletronicos,electronics
livros_tecnicos,books_technical
alimentos,food
livros_interesse_geral,books_general_interest
fashion_underwear_e_moda_praia,fashion_underwear_beach
artigos_de_natal,christmas_supplies
